Country,Index Year,Overall Score
Afghanistan,2026,N/A
Albania,2026,68
Algeria,2026,45.8
Angola,2026,54.4
Argentina,2026,57.4
Armenia,2026,67.1
Australia,2026,80.1
Austria,2026,69.8
Azerbaijan,2026,64.3
Bahrain,2026,65.7
Bangladesh,2026,54.8
Barbados,2026,70.4
Belarus,2026,49.1
Belgium,2026,69.2
Belize,2026,64.7
Benin,2026,60
Bhutan,2026,57.5
Bolivia,2026,42.4
Bosnia and Herzegovina,2026,63.1
Botswana,2026,67.7
Brazil,2026,52.4
Brunei Darussalam,2026,67.5
Bulgaria,2026,68.9
Burkina Faso,2026,49.1
Burma,2026,44.5
Burundi,2026,40.2
Cabo Verde,2026,71.4
Cambodia,2026,58.7
Cameroon,2026,52
Canada,2026,75.6
Central African Republic,2026,43.1
Chad,2026,51.2
Chile,2026,74.3
China,2026,48.3
Colombia,2026,59.8
Comoros,2026,52.7
Costa Rica,2026,69.1
Côte d'Ivoire,2026,58.1
Croatia,2026,67.5
Cuba,2026,25.2
Cyprus,2026,74.1
Czech Republic,2026,73.2
Democratic Republic of Congo,2026,47
Denmark,2026,79
Djibouti,2026,56.3
Dominica,2026,56.1
Dominican Republic,2026,63.8
Ecuador,2026,55.6
Egypt,2026,50.3
El Salvador,2026,57.7
Equatorial Guinea,2026,47.4
Eritrea,2026,39.6
Estonia,2026,78.7
Eswatini,2026,57.5
Ethiopia,2026,48.1
Fiji,2026,59.5
Finland,2026,76.6
France,2026,64.6
Gabon,2026,56.6
Georgia,2026,69.6
Germany,2026,71.7
Ghana,2026,57.3
Greece,2026,63.2
Guatemala,2026,63.5
Guinea,2026,53.1
Guinea-Bissau,2026,43.2
Guyana,2026,58.7
Haiti,2026,46.1
Honduras,2026,59.1
Hungary,2026,62.5
Iceland,2026,75
India,2026,52.5
Indonesia,2026,65.1
Iran,2026,41.8
Iraq,2026,N/A
Ireland,2026,83.3
Israel,2026,68.4
Italy,2026,63.3
Jamaica,2026,68.2
Japan,2026,70.3
Jordan,2026,59.3
Kazakhstan,2026,64.2
Kenya,2026,55.5
Kiribati,2026,50.8
Kosovo,2026,62.4
Kuwait,2026,59.9
Kyrgyz Republic,2026,56
Laos,2026,50.9
Latvia,2026,71.6
Lebanon,2026,43.1
Lesotho,2026,54.9
Liberia,2026,49.8
Libya,2026,N/A
Liechtenstein,2026,N/A
Lithuania,2026,75.3
Luxembourg,2026,79.7
Madagascar,2026,57
Malawi,2026,50.7
Malaysia,2026,68
Maldives,2026,47.6
Mali,2026,52.1
Malta,2026,68.2
Mauritania,2026,53.9
Mauritius,2026,73
Mexico,2026,59.8
Micronesia,2026,62.9
Moldova,2026,58.1
Mongolia,2026,63.9
Montenegro,2026,63.8
Morocco,2026,61.8
Mozambique,2026,49.6
Namibia,2026,60.2
Nepal,2026,52.9
Netherlands,2026,78.5
New Zealand,2026,77.8
Nicaragua,2026,53.6
Niger,2026,51
Nigeria,2026,54.8
North Korea,2026,3.1
North Macedonia,2026,63.3
Norway,2026,78.8
Oman,2026,68.5
Pakistan,2026,48.9
Panama,2026,64.9
Papua New Guinea,2026,54.3
Paraguay,2026,66.4
Peru,2026,66.3
Poland,2026,68.5
Portugal,2026,71.2
Qatar,2026,70.2
Republic of Congo,2026,48.6
Romania,2026,65.4
Russia,2026,50.3
Rwanda,2026,56.5
Saint Lucia,2026,67.5
Saint Vincent and the Grenadines,2026,60
Samoa,2026,68
São Tomé and Príncipe,2026,60.6
Saudi Arabia,2026,65.4
Senegal,2026,53.2
Serbia,2026,65
Seychelles,2026,66.5
Sierra Leone,2026,49.6
Singapore,2026,84.4
Slovakia,2026,67.7
Slovenia,2026,69.7
Solomon Islands,2026,53.7
Somalia,2026,N/A
South Africa,2026,58.6
South Korea,2026,73.7
Spain,2026,66.8
Sri Lanka,2026,50.3
Sudan,2026,32.5
Suriname,2026,53
Sweden,2026,77.8
Switzerland,2026,83.7
Syria,2026,N/A
Taiwan,2026,79.8
Tajikistan,2026,52.5
Tanzania,2026,59
Thailand,2026,62.2
The Bahamas,2026,65.1
The Gambia,2026,56.3
The Philippines,2026,62.9
Timor-Leste,2026,47.9
Togo,2026,51.6
Tonga,2026,58.9
Trinidad and Tobago,2026,62.4
Tunisia,2026,48.1
Türkiye,2026,55
Turkmenistan,2026,47
Uganda,2026,52.4
Ukraine,2026,N/A
United Arab Emirates,2026,71.9
United Kingdom,2026,70.4
United States,2026,72.8
Uruguay,2026,69.8
Uzbekistan,2026,60.3
Vanuatu,2026,61.1
Venezuela,2026,27.3
Vietnam,2026,64.4
Yemen,2026,N/A
Zambia,2026,51.9
Zimbabwe,2026,35.2
,,
,,
,,
,,

